Timestamp,Mode,Target,Model,Encoding,Qubits,Max_Layers,Seed,Kernel_Type,Train_Kernel,Kernel_Optimizer,Optimizer,Tuner,CV_Folds,Features,PCA_Components,Baseline_MAE_kcal_mol,CV_MAE_kcal_mol,Test_MAE_kcal_mol,Test_STD_kcal_mol,Test_MSE_label,Train_Loss_or_TrainMSE,Best_Params
010950,delta,AE,QSVR,yz_cx,3,1,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.482,11.0676,122.806542,127.93578,"OrderedDict([('C', 1000.0), ('epsilon', 0.436680403477698)])"
010954,delta,AE,QSVR,hubregtsen,3,1,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.5233,11.1257,124.0889,136.737249,"OrderedDict([('C', 1000.0), ('epsilon', 0.3993099532961044)])"
011005,delta,AE,QSVR,paramz,5,2,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.4902,10.4618,109.470963,116.247534,"OrderedDict([('C', 1000.0), ('epsilon', 0.5949207256567944)])"
011017,delta,AE,QSVR,multicontrol,3,3,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.4239,10.9481,120.090008,125.678316,"OrderedDict([('C', 1000.0), ('epsilon', 0.19868989457238698)])"
011028,delta,AE,QSVR,multicontrol,3,4,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.4,10.9071,119.157376,125.108318,"OrderedDict([('C', 434.55950969732356), ('epsilon', 0.001)])"
011036,delta,AE,QSVR,paramz,3,1,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.3894,10.9355,119.623351,128.813242,"OrderedDict([('C', 1000.0), ('epsilon', 0.001)])"
011051,delta,AE,QSVR,cpkernel,5,5,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.5217,10.239,104.845811,108.350781,"OrderedDict([('C', 1000.0), ('epsilon', 0.04948596755910139)])"
011129,delta,AE,QSVR,hubregtsen,3,2,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.5326,11.2195,126.221217,131.948698,"OrderedDict([('C', 1000.0), ('epsilon', 0.13374470338476027)])"
011152,delta,AE,QSVR,paramz,5,4,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.5601,10.4389,108.993873,115.240427,"OrderedDict([('C', 996.1958201435497), ('epsilon', 0.12401686425480356)])"
011210,delta,AE,QSVR,yz_cx,5,5,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.2917,9.9969,99.939022,103.786372,"OrderedDict([('C', 1000.0), ('epsilon', 0.11793226098958136)])"
011219,delta,AE,QSVR,hubregtsen,5,5,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.5515,10.1808,103.656935,108.81844,"OrderedDict([('C', 956.8771352899986), ('epsilon', 0.33167339965958603)])"
011226,delta,AE,QSVR,cpkernel,9,5,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac Mul SMR_VSA9 lap_eig_1 Freq,,10.8686,N/A,5.8546,8.0898,65.457972,57.080488,"OrderedDict([('C', 1000.0), ('epsilon', 0.02956831953393965)])"
011233,delta,AE,QSVR,cpkernel,3,1,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.5474,11.0953,123.344568,133.160028,"OrderedDict([('C', 1000.0), ('epsilon', 0.001)])"
011234,delta,AE,QSVR,yz_cx,5,3,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.5095,10.2162,104.372082,107.254041,"OrderedDict([('C', 1000.0), ('epsilon', 0.5669965482174307)])"
011252,delta,AE,QSVR,multicontrol,5,4,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.5263,10.2328,104.716215,108.695829,"OrderedDict([('C', 1000.0), ('epsilon', 0.06367710371102175)])"
011253,delta,AE,QSVR,chebyshev,5,5,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.1381,10.0422,100.87435,99.084725,"OrderedDict([('C', 1000.0), ('epsilon', 0.001)])"
011309,delta,AE,QSVR,paramz,3,3,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.5821,11.2775,127.210962,137.005056,"OrderedDict([('C', 1000.0), ('epsilon', 0.002211391346143275)])"
011309,delta,AE,QSVR,highdim,3,2,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.4572,10.9465,119.87963,131.734446,"OrderedDict([('C', 1000.0), ('epsilon', 0.007200411576259495)])"
011318,delta,AE,QSVR,yz_cx,7,5,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac Mul SMR_VSA9,,10.8686,N/A,6.2498,8.7521,76.675776,65.843311,"OrderedDict([('C', 989.0337481298137), ('epsilon', 0.1180522634550542)])"
011319,delta,AE,QSVR,yz_cx,5,2,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.6304,10.3313,106.765602,110.84134,"OrderedDict([('C', 994.7455067094289), ('epsilon', 0.29363330661220627)])"
011337,delta,AE,QSVR,paramz,3,5,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.8333,11.5742,134.105606,142.315524,"OrderedDict([('C', 1000.0), ('epsilon', 0.35208401354689933)])"
011337,delta,AE,QSVR,yz_cx,7,4,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac Mul SMR_VSA9,,10.8686,N/A,6.2811,8.7931,77.397881,67.933276,"OrderedDict([('C', 997.9226067365712), ('epsilon', 0.1001411895402663)])"
011340,delta,AE,QSVR,highdim,7,1,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac Mul SMR_VSA9,,10.8686,N/A,6.4426,8.8247,78.064952,75.985462,"OrderedDict([('C', 1000.0), ('epsilon', 0.2794280539600863)])"
011341,delta,AE,QSVR,yz_cx,7,3,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac Mul SMR_VSA9,,10.8686,N/A,6.3072,8.8235,77.956871,70.300339,"OrderedDict([('C', 994.7455067094289), ('epsilon', 0.29363330661220627)])"
011358,delta,AE,QSVR,highdim,7,2,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac Mul SMR_VSA9,,10.8686,N/A,6.2802,8.7713,77.023623,69.550613,"OrderedDict([('C', 698.9933030976449), ('epsilon', 0.05011373258597104)])"
011439,delta,AE,QSVR,multicontrol,7,1,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac Mul SMR_VSA9,,10.8686,N/A,6.7329,9.0392,81.936959,82.958467,"OrderedDict([('C', 986.1685000300196), ('epsilon', 0.6604795794828047)])"
011442,delta,AE,QSVR,highdim,7,3,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac Mul SMR_VSA9,,10.8686,N/A,6.1506,8.6564,75.00893,63.645982,"OrderedDict([('C', 1000.0), ('epsilon', 0.8204177651809831)])"
011442,delta,AE,QSVR,paramz,5,1,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac,,10.8686,N/A,7.6104,10.3706,107.704668,114.582396,"OrderedDict([('C', 1000.0), ('epsilon', 0.07567910385791232)])"
011445,delta,AE,QSVR,paramz,3,4,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.4397,11.0297,121.672333,135.562288,"OrderedDict([('C', 1000.0), ('epsilon', 0.001)])"
011455,delta,AE,QSVR,cpkernel,9,4,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac Mul SMR_VSA9 lap_eig_1 Freq,,10.8686,N/A,5.9523,8.1736,66.825046,60.490659,"OrderedDict([('C', 1000.0), ('epsilon', 0.02956831953393965)])"
011512,delta,AE,QSVR,chebyshev,3,2,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.2142,10.6673,114.12309,121.438555,"OrderedDict([('C', 1000.0), ('epsilon', 0.001)])"
011537,delta,AE,QSVR,yz_cx,3,4,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.2723,10.7054,114.824078,122.418459,"OrderedDict([('C', 1000.0), ('epsilon', 0.001)])"
011544,delta,AE,QSVR,highdim,7,4,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac Mul SMR_VSA9,,10.8686,N/A,6.0517,8.4873,72.135139,63.853157,"OrderedDict([('C', 195.02536045147846), ('epsilon', 0.04270105632611934)])"
011659,delta,AE,QSVR,chebyshev,7,2,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P ch_f exp_mopac Mul SMR_VSA9,,10.8686,N/A,6.094,8.5903,73.852008,65.005218,"OrderedDict([('C', 999.4964131619836), ('epsilon', 0.06342317018463173)])"
011712,delta,AE,QSVR,multicontrol,3,2,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,8.4809,11.0416,122.217258,128.683799,"OrderedDict([('C', 1000.0), ('epsilon', 1.132480358474038)])"
011721,delta,AE,QSVR,highdim,3,1,42,fidelity,False,N/A,N/A,skopt,3x1,Par_n_Pople AE_mopac ZPE_TS_P,,10.8686,N/A,9.6335,12.318,151.859172,162.821179,"OrderedDict([('C', 1000.0), ('epsilon', 0.001)])"
